Id,District.Name,Neighborhood.Name,Longitude,Latitude,Month,Day.Span,Hour.Span,Weekday,Weekday.Weekend,Mild.injuries,Serious.injuries,Victims,Vehicles.involved,District.Name_imp,Neighborhood.Name_imp
2017S006228    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.189091,41.393131,July,16-20,12-15h,Monday,Weekday,2,0,2,2,FALSE,FALSE
2017S008988    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.189091,41.393131,October,26-31,18-21h,Monday,Weekday,1,0,1,2,FALSE,FALSE
2017S001845    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.190318,41.393943,March,6-10,15-18h,Monday,Weekday,2,0,2,2,FALSE,FALSE
2017S001517    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.190021,41.39431,February,21-25,06-09h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S005617    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.183535,41.392288,June,26-31,21-00h,Tuesday,Weekday,1,0,1,1,FALSE,FALSE
2017S010346    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.190544,41.394354,December,11-15,21-00h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S000121    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.187949,41.393957,January,1-5,18-21h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S008613    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.188727,41.397906,October,16-20,06-09h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S010166    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.186951,41.399893,December,1-5,18-21h,Tuesday,Weekday,1,0,1,1,FALSE,FALSE
2017S004268    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.187557,41.391081,May,11-15,18-21h,Saturday,Weekend,0,0,0,1,FALSE,FALSE
2017S001278    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.186859,41.391505,February,11-15,18-21h,Wednesday,Weekday,1,0,1,2,FALSE,FALSE
2017S009850    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.186859,41.391505,November,26-31,15-18h,Sunday,Weekend,3,0,3,2,FALSE,FALSE
2017S003819    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.218559,41.410976,April,26-31,15-18h,Saturday,Weekend,3,0,3,2,FALSE,FALSE
2017S004613    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.189613,41.405098,May,21-25,12-15h,Thursday,Weekday,2,0,2,2,FALSE,FALSE
2017S005526    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.20846,41.399781,June,21-25,09-12h,Sunday,Weekend,1,0,1,2,FALSE,FALSE
2017S003022    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.2018,41.392004,April,1-5,03-06h,Sunday,Weekend,1,0,1,1,FALSE,FALSE
2017S001744    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.19141,41.406811,March,1-5,06-09h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S008729    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.218332,41.406911,October,21-25,09-12h,Sunday,Weekend,1,0,1,1,FALSE,FALSE
2017S003167    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.218332,41.406911,April,1-5,18-21h,Wednesday,Weekday,1,0,1,1,FALSE,FALSE
2017S004653    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.213901,41.402704,May,26-31,12-15h,Friday,Weekday,2,0,2,3,FALSE,FALSE
2017S005534    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.214957,41.404408,June,21-25,18-21h,Sunday,Weekend,1,0,1,1,FALSE,FALSE
2017S007502    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.215527,41.403945,September,6-10,06-09h,Saturday,Weekend,0,0,0,1,FALSE,FALSE
2017S006912    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.21088,41.400104,August,11-15,12-15h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S005085    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.209741,41.399442,June,6-10,00-03h,Saturday,Weekend,0,2,2,1,FALSE,FALSE
